CENTRE,TOTAL,PUBLISHED,PLAYED,CANCELED,HIDDEN,ORGANISATEURS_UNIQUES,GOLD_EXCLUSIVE_TRUE,GOLD_EXCLUSIVE_FALSE
Footbox,16,7,3,6,0,8,13,3
"GOPARK INTERIEUR - Paintball, Laser Game et trampolines parc",15,1,7,7,0,9,0,15
Stade de la Poterne des Peupliers,15,4,4,7,0,7,0,15
Palais des Sports Maurice Thorez,14,1,12,1,0,3,0,14
FC ISSY,14,1,11,2,0,4,0,14
SOCCER VALLEE,14,0,14,0,0,1,0,14
Collège Stanislas,14,1,12,1,0,1,0,14
Parc des sports et de loisirs du Grand Godet,14,6,2,6,0,2,0,14
Gymnase Maurice-Baquet,14,2,8,4,0,2,0,14
4PADEL Champigny,14,6,1,7,0,4,0,14
Football Club du Bourget,13,1,3,9,0,3,0,13
Stade de la Bruyere,13,3,9,1,0,2,0,13
Foot à 5 @ Le club le Village,13,0,5,8,0,8,0,13
Gymnase Henri Wallon,13,0,11,2,0,2,0,13
UrbanSoccer - Strasbourg,13,2,4,7,0,8,13,0
Stade Léo Lagrange,13,3,8,2,0,4,0,13
Gymnase du Port-à-l'Anglais,13,4,9,0,0,1,0,13
Stade football,13,2,6,5,0,3,0,13
Campus El Segundo Athletic Fields,13,1,2,10,0,1,0,13
Stade Municipal Guy Môquet,12,2,7,3,0,4,0,12
Stade Marius Requier,12,2,6,4,0,2,0,12
Le CR5,12,2,2,8,0,7,0,12
Padel Football Club,12,0,9,3,0,3,0,12
Padel and Foot Strasbourg,12,2,4,6,0,4,0,12
Centre sportif Angélique Duchemin (ex-TEP les Amandiers),12,6,5,1,0,3,1,11
UrbanSoccer - Villeneuve Loubet,12,3,1,8,0,5,12,0
Playa Vista Sports Park - Playground,12,3,1,8,0,1,0,12
LE MOZART TABAC,11,2,2,7,0,2,1,10
Centre Sportif Philippe Cattiau,11,1,6,4,0,2,0,11
UCPA Sport Station - Meudon,11,0,9,2,0,2,0,11
UrbanSoccer - Nantes St-Sébastien,11,3,3,5,0,5,11,0
Moulin Neuf,11,0,6,5,0,1,0,11
Centre Sportif Candie,11,2,6,3,0,2,0,11
UrbanSoccer Nantes - Carquefou,11,8,0,3,0,3,11,0
Gymnase Henri Geffroy,11,1,8,2,0,1,0,11
Parc des Sévines,10,1,8,1,0,3,0,10
B14 - Foot à 5 - Five - Urban ⚽,10,1,2,7,0,8,10,0
City Stade - Les Blagis (Basket),10,1,5,4,0,4,0,10
LE FIVE Annemasse,10,7,1,2,0,9,0,10
FOOTMAX Saint-Maximin,10,0,2,8,0,2,0,10
COSEC Pagnol,10,3,6,1,0,2,0,10
4PADEL Antony,10,9,0,1,0,3,0,10
Stade Georges Carpentier,9,2,4,3,0,6,0,9
Gymnase claude saluden,9,1,5,3,0,1,0,9
Gymnase Japy,9,1,5,3,0,4,0,9
Stade Auguste Delaune,9,3,0,6,0,4,1,8
Terrain de sport Langevin wallon,9,0,2,7,0,4,0,9
Insport Montpellier - Près d'arènes,9,7,2,0,0,6,1,8
Stade du Domaine de la Cour Roland,9,1,2,6,0,5,0,9
Gymnase Félix Faure,9,0,7,2,0,4,0,9
Gymnase Jesse Owens,9,0,6,3,0,6,0,9
Hall des sports,9,4,2,3,0,2,0,9
UrbanSoccer - Saint Etienne,9,4,3,2,0,7,8,1
Stade Marcel Cerdan,9,0,0,9,0,2,0,9
Centre Sportif des Poissonniers,9,2,7,0,0,7,0,9
Urban5,9,7,0,2,0,4,9,0
Stade De Football L'Asco,8,1,7,0,0,1,0,8
Complexe sportif de l'île des Vannes,8,1,4,3,0,3,1,7
Gymnase Victor Hugo,8,0,3,5,0,2,0,8
Stade Jacques Galibert,8,0,3,5,0,1,0,8
Complexe Sportif Christiane Prajet,8,1,6,1,0,2,0,8
Urban Soccer Meudon Annexe,8,2,2,4,0,6,8,0
Stade Maurice-David,8,0,8,0,0,1,0,8
Stade Maurice Hubert,8,3,0,5,0,5,0,8
Stadium Foot5 Village,8,1,4,3,0,5,0,8
Stade Hardenberg,8,4,3,1,0,4,0,8
Parc des sports des Maisons Rouges,8,0,4,4,0,2,0,8
Gymnase Alain Mimoun,8,2,6,0,0,2,0,8
Stade de La Plaine Sportive Luminy Football,8,3,4,1,0,2,0,8
Stade Pierre Mendès France,8,3,2,3,0,4,0,8
KIPSTADIUM : Centre de Pratique dédié aux Sports Collectifs,8,0,0,8,0,6,8,0
4PADEL Marville - La Courneuve,8,1,2,5,0,6,0,8
Stade Pierre de Coubertin,8,3,3,2,0,4,0,8
Parc des Glacières,8,0,1,7,0,2,0,8
Gymnase Marie-Thérèse Eyquem,8,1,7,0,0,1,0,8
Salle des sports,8,1,6,1,0,2,0,8
Stade Charles Moureu,8,5,1,2,0,2,0,8
Stade de la Jouvène,8,5,2,1,0,3,0,8
Tennis de l’Aqueduc,7,7,0,0,0,1,0,7
Parc du Tremblay,7,1,3,3,0,6,0,7
Stade des Bergeries,7,2,4,1,0,2,0,7
Parc Municipal des Sports d'Haÿ-les-Roses,7,3,2,2,0,3,0,7
Évry-Grégy-sur-Yerre,7,3,4,0,0,1,0,7
Centre Sportif Alain Mimoun,7,1,4,2,0,1,0,7
CAF de Lognes,7,0,4,3,0,2,0,7
Foot 5 Champigny • FFF,7,2,2,3,0,5,0,7
Gymnase Camille Hébert,7,2,4,1,0,2,0,7
LE FIVE Rouen,7,4,3,0,0,4,0,7
La Plaine des Sports,7,0,1,6,0,1,0,7
Parking Chemin des Bœufs,7,3,3,1,0,2,0,7
Créteil - Pompadour,7,1,3,3,0,5,0,7
S.M.U.C — Stade Marseillais Université Club,7,5,0,2,0,1,0,7
